experiment,profiles,alternatives,agendas,time (ss:ms),time/profile,time/agenda
am+plur,100,3,600,00:14:00,00:00:140,00:00:0233
am+plur,108,4,2592,00:16:00,00:00:148,00:00:0062
am+plur,1,6,720,<00:01:00,<00:01:00,<00:00:0014
am+plur,1,7,5040,00:04:00,00:04:00
am+plur,1,9,5040,00:34:00,00:34:00
am+plur,2,10,10080,DNF,N/A,N/A
sc+plur,100,3,600,00:14:00,00:00:140,00:00:0233
sc+plur,108,4,2592,00:16:00,00:00:148,00:00:0062
sc+plur,1,6,720,<00:01:00,<00:01:00,00:00:0001
sc+plur,1,7,5040,<00:01:00,<00:01:00,<00:00:0001
sc+plur,1,9,5040,00:02:00,00:02:00,<00:00:0001
sc+plur,2,10,10080,DNF,N/A,N/A
am+bord,100,3,600,00:14:00,00:00:140,00:00:0233
am+bord,108,4,2592,00:15:00,00:00:139,00:00:0058
am+bord,1,6,720,<00:01:00,<00:01:00,<00:00:0001
am+bord,1,7,5040,00:04:00,00:04:00,00:00:0008
am+bord,1,9,5040,00:32:00,00:32:00,00:00:0063
sc+bord,100,3,600,00:14:00,00:00:140,00:00:0233
sc+bord,108,4,2592,00:16:00,00:00:148,00:00:0062
sc+bord,1,6,720,<00:01:00,<00:01:00,00:00:0001
sc+bord,1,7,5040,<00:01:00,<00:01:00,<00:00:0001
sc+bord,1,9,5040,00:02:00,00:02:00,<00:00:0001
